utterance_label,block_trial,type,trial,block,Answer.bonus,label,position,clicked,utterance,init_images,color,Answer.time_in_minutes,workerid,percentage,Answer.condition
quantifier,7,40_0_1,7,1,307,target,2,1, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,40,many
color,7,40_0_1,7,1,307,competitor,1,0, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,0,many
color,7,40_0_1,7,1,307,target,2,1, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,40,many
prior,8,25_60_2,8,1,307,target,1,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
prior,8,25_60_2,8,1,307,competitor,2,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
quantifier,8,25_60_2,8,1,307,target,1,1, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
quantifier,8,25_60_2,8,1,307,competitor,2,0, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
color,8,25_60_2,8,1,307,target,1,1, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
color,8,25_60_2,8,1,307,competitor,2,0, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
prior,1,25_60_2,9,2,307,competitor,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,1,25_60_2,9,2,307,target,2,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
quantifier,1,25_60_2,9,2,307,competitor,1,0, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
quantifier,1,25_60_2,9,2,307,target,2,1, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
color,1,25_60_2,9,2,307,competitor,1,0, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
color,1,25_60_2,9,2,307,target,2,1, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
prior,2,25_100_2,10,2,307,competitor,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,2,25_100_2,10,2,307,target,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
quantifier,2,25_100_2,10,2,307,competitor,1,0, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
quantifier,2,25_100_2,10,2,307,target,2,1, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
color,2,25_100_2,10,2,307,competitor,1,0, The machine dispensed all of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
color,2,25_100_2,10,2,307,target,2,1, The machine dispensed all of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
prior,3,25_100_1,11,2,307,target,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,3,25_100_1,11,2,307,competitor,2,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
quantifier,3,25_100_1,11,2,307,target,1,1, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
quantifier,3,25_100_1,11,2,307,competitor,2,0, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
color,3,25_100_1,11,2,307,target,1,1, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
color,3,25_100_1,11,2,307,competitor,2,0, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
prior,4,25_60_1,12,2,307,target,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
prior,4,25_60_1,12,2,307,competitor,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
quantifier,4,25_60_1,12,2,307,target,1,0, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
quantifier,4,25_60_1,12,2,307,competitor,2,1, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
color,4,25_60_1,12,2,307,target,1,0, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
color,4,25_60_1,12,2,307,competitor,2,1, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
prior,5,40_0_1,13,2,307,target,1,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
prior,5,40_0_1,13,2,307,competitor,2,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
quantifier,5,40_0_1,13,2,307,target,1,1, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
quantifier,5,40_0_1,13,2,307,competitor,2,0, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
color,5,40_0_1,13,2,307,target,1,1, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
color,5,40_0_1,13,2,307,competitor,2,0, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
prior,6,60_90_1,14,2,307,target,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
prior,6,60_90_1,14,2,307,competitor,2,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
quantifier,6,60_90_1,14,2,307,target,1,0, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
quantifier,6,60_90_1,14,2,307,competitor,2,1, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
color,6,60_90_1,14,2,307,target,1,0, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
color,6,60_90_1,14,2,307,competitor,2,1, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
prior,7,40_0_2,15,2,307,target,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,0,many
prior,7,40_0_2,15,2,307,competitor,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,40,many
quantifier,7,40_0_2,15,2,307,target,1,1, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,0,many
quantifier,7,40_0_2,15,2,307,competitor,2,0, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,40,many
color,7,40_0_2,15,2,307,target,1,1, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,0,many
color,7,40_0_2,15,2,307,competitor,2,0, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,40,many
prior,8,60_90_2,16,2,307,competitor,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
prior,8,60_90_2,16,2,307,target,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
quantifier,8,60_90_2,16,2,307,competitor,1,0, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
quantifier,8,60_90_2,16,2,307,target,2,1, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
color,8,60_90_2,16,2,307,competitor,1,0, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
color,8,60_90_2,16,2,307,target,2,1, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
prior,1,25_60_2,17,3,307,target,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
prior,1,25_60_2,17,3,307,competitor,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
quantifier,1,25_60_2,17,3,307,target,1,0, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
quantifier,1,25_60_2,17,3,307,competitor,2,1, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
color,1,25_60_2,17,3,307,target,1,0, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
color,1,25_60_2,17,3,307,competitor,2,1, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,25,many
prior,2,40_0_2,18,3,307,competitor,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
prior,2,40_0_2,18,3,307,target,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
quantifier,2,40_0_2,18,3,307,competitor,1,0, The machine dispensed none of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
quantifier,2,40_0_2,18,3,307,target,2,1, The machine dispensed none of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
color,2,40_0_2,18,3,307,competitor,1,0, The machine dispensed none of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
color,2,40_0_2,18,3,307,target,2,1, The machine dispensed none of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
prior,3,25_60_1,19,3,307,competitor,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
prior,3,25_60_1,19,3,307,target,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
quantifier,3,25_60_1,19,3,307,competitor,1,1, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
quantifier,3,25_60_1,19,3,307,target,2,0, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
color,3,25_60_1,19,3,307,competitor,1,1, The machine dispensed some of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
color,3,25_60_1,19,3,307,target,2,0, The machine dispensed some of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
prior,4,25_100_1,20,3,307,target,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,4,25_100_1,20,3,307,competitor,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
quantifier,4,25_100_1,20,3,307,target,1,1, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
quantifier,4,25_100_1,20,3,307,competitor,2,0, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
color,4,25_100_1,20,3,307,target,1,1, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
color,4,25_100_1,20,3,307,competitor,2,0, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
prior,5,40_0_1,21,3,307,target,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,40,many
prior,5,40_0_1,21,3,307,competitor,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,0,many
quantifier,5,40_0_1,21,3,307,target,1,1, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,40,many
quantifier,5,40_0_1,21,3,307,competitor,2,0, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,0,many
color,5,40_0_1,21,3,307,target,1,1, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,40,many
color,5,40_0_1,21,3,307,competitor,2,0, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,0,many
prior,6,60_90_1,22,3,307,target,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
prior,6,60_90_1,22,3,307,competitor,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
quantifier,6,60_90_1,22,3,307,target,1,0, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
quantifier,6,60_90_1,22,3,307,competitor,2,1, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
color,6,60_90_1,22,3,307,target,1,1, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,60,many
color,6,60_90_1,22,3,307,competitor,2,0, The machine dispensed most of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,90,many
prior,7,25_100_2,23,3,307,competitor,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,7,25_100_2,23,3,307,target,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
quantifier,7,25_100_2,23,3,307,competitor,1,0, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
quantifier,7,25_100_2,23,3,307,target,2,1, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
color,7,25_100_2,23,3,307,competitor,1,0, The machine dispensed all of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
color,7,25_100_2,23,3,307,target,2,1, The machine dispensed all of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
prior,8,60_90_2,24,3,307,competitor,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
prior,8,60_90_2,24,3,307,target,2,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
quantifier,8,60_90_2,24,3,307,competitor,1,1, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
quantifier,8,60_90_2,24,3,307,target,2,0, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
color,8,60_90_2,24,3,307,competitor,1,0, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,60,many
color,8,60_90_2,24,3,307,target,2,1, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,90,many
prior,1,25_60_1,25,4,307,target,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
prior,1,25_60_1,25,4,307,competitor,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
quantifier,1,25_60_1,25,4,307,target,1,0, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
quantifier,1,25_60_1,25,4,307,competitor,2,1, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
color,1,25_60_1,25,4,307,target,1,1, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,25,many
color,1,25_60_1,25,4,307,competitor,2,0, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,60,many
prior,2,25_100_2,26,4,307,target,1,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,100,many
prior,2,25_100_2,26,4,307,competitor,2,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
quantifier,2,25_100_2,26,4,307,target,1,1, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,100,many
quantifier,2,25_100_2,26,4,307,competitor,2,0, The machine dispensed all of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
