utterance_label,block_trial,type,trial,block,Answer.bonus,label,position,clicked,utterance,init_images,color,Answer.time_in_minutes,workerid,percentage,Answer.condition
color,2,25_100_2,26,4,307,target,1,1, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,100,many
color,2,25_100_2,26,4,307,competitor,2,0, The machine dispensed all of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,25,many
prior,3,40_0_1,27,4,307,target,1,0, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
prior,3,40_0_1,27,4,307,competitor,2,1, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
quantifier,3,40_0_1,27,4,307,target,1,1, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
quantifier,3,40_0_1,27,4,307,competitor,2,0, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
color,3,40_0_1,27,4,307,target,1,1, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,7.331533333333334,0,40,many
color,3,40_0_1,27,4,307,competitor,2,0, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,7.331533333333334,0,0,many
prior,4,60_90_1,28,4,307,competitor,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,90,many
prior,4,60_90_1,28,4,307,target,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
quantifier,4,60_90_1,28,4,307,competitor,1,0, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,90,many
quantifier,4,60_90_1,28,4,307,target,2,1, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
color,4,60_90_1,28,4,307,competitor,1,0, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,90,many
color,4,60_90_1,28,4,307,target,2,1, The machine dispensed most of the orange ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,60,many
prior,5,25_100_1,29,4,307,target,1,0, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
prior,5,25_100_1,29,4,307,competitor,2,1, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,7.331533333333334,0,100,many
quantifier,5,25_100_1,29,4,307,target,1,1, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,7.331533333333334,0,25,many
