percentage,quantifier,Answer.bonus,trial,utterance,utterance_label,color,Answer.condition,block,label,clicked,type,position,Answer.time_in_minutes,block_trial,init_images,workerid
100,all,178,1, The machine dispensed all of the,quantifier,blue,some,0,target,1,0_100_2,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,all,178,1, The machine dispensed all of the,quantifier,orange,some,0,competitor,0,0_100_2,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,1, The machine dispensed all of the blue ones.,color,blue,some,0,target,1,0_100_2,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,all,178,1, The machine dispensed all of the blue ones.,color,orange,some,0,competitor,0,0_100_2,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,none,178,2, The machine dispensed none of the,quantifier,blue,some,0,competitor,0,0_100_1,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,2, The machine dispensed none of the,quantifier,orange,some,0,target,1,0_100_1,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,none,178,2, The machine dispensed none of the orange ones.,color,blue,some,0,competitor,0,0_100_1,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,2, The machine dispensed none of the orange ones.,color,orange,some,0,target,1,0_100_1,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,3, The machine dispensed none of the,quantifier,orange,some,0,target,1,0_100_1,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,none,178,3, The machine dispensed none of the,quantifier,blue,some,0,competitor,0,0_100_1,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,178,3, The machine dispensed none of the orange ones.,color,orange,some,0,target,1,0_100_1,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,none,178,3, The machine dispensed none of the orange ones.,color,blue,some,0,competitor,0,0_100_1,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,all,178,4, The machine dispensed all of the,quantifier,orange,some,0,competitor,0,0_100_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,178,4, The machine dispensed all of the,quantifier,blue,some,0,target,1,0_100_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,all,178,4, The machine dispensed all of the blue ones.,color,orange,some,0,competitor,0,0_100_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,178,4, The machine dispensed all of the blue ones.,color,blue,some,0,target,1,0_100_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,178,5, The machine dispensed none of the,quantifier,orange,some,1,target,1,90_0_2,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,none,178,5, The machine dispensed none of the,quantifier,blue,some,1,competitor,0,90_0_2,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,178,5, The machine dispensed none of the orange ones.,color,orange,some,1,target,1,90_0_2,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,none,178,5, The machine dispensed none of the orange ones.,color,blue,some,1,competitor,0,90_0_2,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,6, The machine dispensed some of the,quantifier,orange,some,1,target,0,25_60_2,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,6, The machine dispensed some of the,quantifier,blue,some,1,competitor,1,25_60_2,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,6, The machine dispensed some of the orange ones.,color,orange,some,1,target,1,25_60_2,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,6, The machine dispensed some of the orange ones.,color,blue,some,1,competitor,0,25_60_2,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,7, The machine dispensed most of the,quantifier,orange,some,1,target,1,90_0_1,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,7, The machine dispensed most of the,quantifier,blue,some,1,competitor,0,90_0_1,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,7, The machine dispensed most of the orange ones.,color,orange,some,1,target,1,90_0_1,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,7, The machine dispensed most of the orange ones.,color,blue,some,1,competitor,0,90_0_1,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,some,178,8, The machine dispensed some of the,quantifier,blue,some,1,competitor,0,60_90_1,1,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,8, The machine dispensed some of the,quantifier,orange,some,1,target,1,60_90_1,2,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,some,178,8, The machine dispensed some of the orange ones.,color,blue,some,1,competitor,0,60_90_1,1,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,8, The machine dispensed some of the orange ones.,color,orange,some,1,target,1,60_90_1,2,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,9, The machine dispensed all of the,quantifier,blue,some,1,competitor,0,75_100_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,9, The machine dispensed all of the,quantifier,orange,some,1,target,1,75_100_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,9, The machine dispensed all of the orange ones.,color,blue,some,1,competitor,0,75_100_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,9, The machine dispensed all of the orange ones.,color,orange,some,1,target,1,75_100_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,10, The machine dispensed some of the,quantifier,blue,some,1,target,1,25_60_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,10, The machine dispensed some of the,quantifier,orange,some,1,competitor,0,25_60_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,10, The machine dispensed some of the blue ones.,color,blue,some,1,target,1,25_60_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,10, The machine dispensed some of the blue ones.,color,orange,some,1,competitor,0,25_60_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,11, The machine dispensed most of the,quantifier,orange,some,1,target,1,75_100_1,1,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,most,178,11, The machine dispensed most of the,quantifier,blue,some,1,competitor,0,75_100_1,2,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
75,most,178,11, The machine dispensed most of the orange ones.,color,orange,some,1,target,1,75_100_1,1,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,most,178,11, The machine dispensed most of the orange ones.,color,blue,some,1,competitor,0,75_100_1,2,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,12, The machine dispensed most of the,quantifier,blue,some,1,target,1,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,12, The machine dispensed most of the,quantifier,orange,some,1,competitor,0,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,12, The machine dispensed most of the blue ones.,color,blue,some,1,target,1,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,12, The machine dispensed most of the blue ones.,color,orange,some,1,competitor,0,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,some,178,13, The machine dispensed some of the,quantifier,orange,some,2,competitor,0,60_90_1,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,13, The machine dispensed some of the,quantifier,blue,some,2,target,1,60_90_1,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,some,178,13, The machine dispensed some of the blue ones.,color,orange,some,2,competitor,0,60_90_1,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,13, The machine dispensed some of the blue ones.,color,blue,some,2,target,1,60_90_1,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,14, The machine dispensed some of the,quantifier,blue,some,2,target,1,25_60_1,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,14, The machine dispensed some of the,quantifier,orange,some,2,competitor,0,25_60_1,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,14, The machine dispensed some of the blue ones.,color,blue,some,2,target,1,25_60_1,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,14, The machine dispensed some of the blue ones.,color,orange,some,2,competitor,0,25_60_1,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,15, The machine dispensed some of the,quantifier,blue,some,2,target,0,25_60_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,15, The machine dispensed some of the,quantifier,orange,some,2,competitor,1,25_60_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,15, The machine dispensed some of the blue ones.,color,blue,some,2,target,1,25_60_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,15, The machine dispensed some of the blue ones.,color,orange,some,2,competitor,0,25_60_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,16, The machine dispensed all of the,quantifier,orange,some,2,competitor,0,75_100_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,178,16, The machine dispensed all of the,quantifier,blue,some,2,target,1,75_100_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
75,all,178,16, The machine dispensed all of the blue ones.,color,orange,some,2,competitor,0,75_100_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,all,178,16, The machine dispensed all of the blue ones.,color,blue,some,2,target,1,75_100_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,none,178,17, The machine dispensed none of the,quantifier,blue,some,2,competitor,0,90_0_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,17, The machine dispensed none of the,quantifier,orange,some,2,target,1,90_0_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,none,178,17, The machine dispensed none of the orange ones.,color,blue,some,2,competitor,1,90_0_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
