percentage,quantifier,Answer.bonus,trial,utterance,utterance_label,color,Answer.condition,block,label,clicked,type,position,Answer.time_in_minutes,block_trial,init_images,workerid
0,none,178,17, The machine dispensed none of the orange ones.,color,orange,some,2,target,0,90_0_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,18, The machine dispensed most of the,quantifier,blue,some,2,target,1,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,18, The machine dispensed most of the,quantifier,orange,some,2,competitor,0,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,18, The machine dispensed most of the blue ones.,color,blue,some,2,target,1,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,18, The machine dispensed most of the blue ones.,color,orange,some,2,competitor,0,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,19, The machine dispensed most of the,quantifier,blue,some,2,target,1,90_0_1,1,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,most,178,19, The machine dispensed most of the,quantifier,orange,some,2,competitor,0,90_0_1,2,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,19, The machine dispensed most of the blue ones.,color,blue,some,2,target,1,90_0_1,1,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,most,178,19, The machine dispensed most of the blue ones.,color,orange,some,2,competitor,0,90_0_1,2,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,20, The machine dispensed most of the,quantifier,blue,some,2,competitor,0,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,20, The machine dispensed most of the,quantifier,orange,some,2,target,1,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,20, The machine dispensed most of the orange ones.,color,blue,some,2,competitor,0,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,20, The machine dispensed most of the orange ones.,color,orange,some,2,target,1,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,some,178,21, The machine dispensed some of the,quantifier,orange,some,3,competitor,0,60_90_1,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,21, The machine dispensed some of the,quantifier,blue,some,3,target,1,60_90_1,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,some,178,21, The machine dispensed some of the blue ones.,color,orange,some,3,competitor,0,60_90_1,1,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,21, The machine dispensed some of the blue ones.,color,blue,some,3,target,1,60_90_1,2,8.372666666666667,1,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,22, The machine dispensed most of the,quantifier,orange,some,3,target,1,90_0_1,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,22, The machine dispensed most of the,quantifier,blue,some,3,competitor,0,90_0_1,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,22, The machine dispensed most of the orange ones.,color,orange,some,3,target,1,90_0_1,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,22, The machine dispensed most of the orange ones.,color,blue,some,3,competitor,0,90_0_1,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
75,all,178,23, The machine dispensed all of the,quantifier,blue,some,3,competitor,0,75_100_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,23, The machine dispensed all of the,quantifier,orange,some,3,target,1,75_100_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,23, The machine dispensed all of the orange ones.,color,blue,some,3,competitor,0,75_100_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,23, The machine dispensed all of the orange ones.,color,orange,some,3,target,1,75_100_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,24, The machine dispensed none of the,quantifier,orange,some,3,target,0,90_0_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,none,178,24, The machine dispensed none of the,quantifier,blue,some,3,competitor,1,90_0_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,178,24, The machine dispensed none of the orange ones.,color,orange,some,3,target,0,90_0_2,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,none,178,24, The machine dispensed none of the orange ones.,color,blue,some,3,competitor,1,90_0_2,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,25, The machine dispensed some of the,quantifier,blue,some,3,competitor,0,25_60_1,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,25, The machine dispensed some of the,quantifier,orange,some,3,target,1,25_60_1,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,25, The machine dispensed some of the orange ones.,color,blue,some,3,competitor,0,25_60_1,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,25, The machine dispensed some of the orange ones.,color,orange,some,3,target,1,25_60_1,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,26, The machine dispensed most of the,quantifier,blue,some,3,competitor,0,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,26, The machine dispensed most of the,quantifier,orange,some,3,target,1,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,26, The machine dispensed most of the orange ones.,color,blue,some,3,competitor,0,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,26, The machine dispensed most of the orange ones.,color,orange,some,3,target,1,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
25,some,178,27, The machine dispensed some of the,quantifier,orange,some,3,competitor,1,25_60_2,1,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,27, The machine dispensed some of the,quantifier,blue,some,3,target,0,25_60_2,2,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,27, The machine dispensed some of the blue ones.,color,orange,some,3,competitor,0,25_60_2,1,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,27, The machine dispensed some of the blue ones.,color,blue,some,3,target,1,25_60_2,2,8.372666666666667,7,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,28, The machine dispensed most of the,quantifier,blue,some,3,target,1,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,28, The machine dispensed most of the,quantifier,orange,some,3,competitor,0,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,28, The machine dispensed most of the blue ones.,color,blue,some,3,target,1,60_90_2,1,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,28, The machine dispensed most of the blue ones.,color,orange,some,3,competitor,0,60_90_2,2,8.372666666666667,8,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,29, The machine dispensed none of the,quantifier,blue,some,4,target,0,90_0_2,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,none,178,29, The machine dispensed none of the,quantifier,orange,some,4,competitor,1,90_0_2,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,29, The machine dispensed none of the blue ones.,color,blue,some,4,target,0,90_0_2,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,none,178,29, The machine dispensed none of the blue ones.,color,orange,some,4,competitor,1,90_0_2,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,30, The machine dispensed some of the,quantifier,orange,some,4,target,0,25_60_2,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,30, The machine dispensed some of the,quantifier,blue,some,4,competitor,1,25_60_2,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,30, The machine dispensed some of the orange ones.,color,orange,some,4,target,1,25_60_2,1,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,30, The machine dispensed some of the orange ones.,color,blue,some,4,competitor,0,25_60_2,2,8.372666666666667,2,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
75,all,178,31, The machine dispensed all of the,quantifier,blue,some,4,competitor,0,75_100_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,31, The machine dispensed all of the,quantifier,orange,some,4,target,1,75_100_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,31, The machine dispensed all of the orange ones.,color,blue,some,4,competitor,0,75_100_2,1,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,31, The machine dispensed all of the orange ones.,color,orange,some,4,target,1,75_100_2,2,8.372666666666667,3,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,32, The machine dispensed most of the,quantifier,orange,some,4,target,1,90_0_1,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,32, The machine dispensed most of the,quantifier,blue,some,4,competitor,0,90_0_1,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,most,178,32, The machine dispensed most of the orange ones.,color,orange,some,4,target,1,90_0_1,1,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,most,178,32, The machine dispensed most of the orange ones.,color,blue,some,4,competitor,0,90_0_1,2,8.372666666666667,4,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
90,some,178,33, The machine dispensed some of the,quantifier,blue,some,4,competitor,0,60_90_1,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,33, The machine dispensed some of the,quantifier,orange,some,4,target,1,60_90_1,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,some,178,33, The machine dispensed some of the orange ones.,color,blue,some,4,competitor,0,60_90_1,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,33, The machine dispensed some of the orange ones.,color,orange,some,4,target,1,60_90_1,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,34, The machine dispensed most of the,quantifier,blue,some,4,competitor,0,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,34, The machine dispensed most of the,quantifier,orange,some,4,target,1,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,34, The machine dispensed most of the orange ones.,color,blue,some,4,competitor,0,75_100_1,1,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,34, The machine dispensed most of the orange ones.,color,orange,some,4,target,1,75_100_1,2,8.372666666666667,6,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,35, The machine dispensed most of the,quantifier,blue,some,4,target,1,60_90_2,1,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,35, The machine dispensed most of the,quantifier,orange,some,4,competitor,0,60_90_2,2,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,35, The machine dispensed most of the blue ones.,color,blue,some,4,target,1,60_90_2,1,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,35, The machine dispensed most of the blue ones.,color,orange,some,4,competitor,0,60_90_2,2,8.372666666666667,7,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,36, The machine dispensed some of the,quantifier,orange,some,4,competitor,0,25_60_1,1,8.372666666666667,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,36, The machine dispensed some of the,quantifier,blue,some,4,target,1,25_60_1,2,8.372666666666667,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,36, The machine dispensed some of the blue ones.,color,orange,some,4,competitor,0,25_60_1,1,8.372666666666667,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,36, The machine dispensed some of the blue ones.,color,blue,some,4,target,1,25_60_1,2,8.372666666666667,8,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
100,most,178,37, The machine dispensed most of the,quantifier,blue,some,5,competitor,0,75_100_1,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,37, The machine dispensed most of the,quantifier,orange,some,5,target,1,75_100_1,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,most,178,37, The machine dispensed most of the orange ones.,color,blue,some,5,competitor,0,75_100_1,1,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,most,178,37, The machine dispensed most of the orange ones.,color,orange,some,5,target,1,75_100_1,2,8.372666666666667,1,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,38, The machine dispensed most of the,quantifier,blue,some,5,competitor,0,60_90_2,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,38, The machine dispensed most of the,quantifier,orange,some,5,target,1,60_90_2,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,most,178,38, The machine dispensed most of the orange ones.,color,blue,some,5,competitor,0,60_90_2,1,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,most,178,38, The machine dispensed most of the orange ones.,color,orange,some,5,target,1,60_90_2,2,8.372666666666667,2,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
60,some,178,39, The machine dispensed some of the,quantifier,orange,some,5,target,1,25_60_2,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,39, The machine dispensed some of the,quantifier,blue,some,5,competitor,0,25_60_2,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
60,some,178,39, The machine dispensed some of the orange ones.,color,orange,some,5,target,1,25_60_2,1,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
25,some,178,39, The machine dispensed some of the orange ones.,color,blue,some,5,competitor,0,25_60_2,2,8.372666666666667,3,"['gumball_orange_0.png', 'gumball_blue_0.png']",0
0,none,178,40, The machine dispensed none of the,quantifier,blue,some,5,target,0,90_0_2,1,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,none,178,40, The machine dispensed none of the,quantifier,orange,some,5,competitor,1,90_0_2,2,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
0,none,178,40, The machine dispensed none of the blue ones.,color,blue,some,5,target,0,90_0_2,1,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
90,none,178,40, The machine dispensed none of the blue ones.,color,orange,some,5,competitor,1,90_0_2,2,8.372666666666667,4,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,41, The machine dispensed all of the,quantifier,blue,some,5,target,1,75_100_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,41, The machine dispensed all of the,quantifier,orange,some,5,competitor,0,75_100_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
100,all,178,41, The machine dispensed all of the blue ones.,color,blue,some,5,target,1,75_100_2,1,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
75,all,178,41, The machine dispensed all of the blue ones.,color,orange,some,5,competitor,0,75_100_2,2,8.372666666666667,5,"['gumball_blue_0.png', 'gumball_orange_0.png']",0
