quantifier,Answer.time_in_minutes,block_trial,utterance_label,color,type,position,Answer.bonus,label,utterance,trial,Answer.condition,clicked,percentage,init_images,workerid,block
none,6.35675,8,color,orange,90_0_2,2,162,competitor, The machine dispensed none of the blue ones.,12,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
none,6.35675,1,quantifier,orange,90_0_2,1,162,competitor, The machine dispensed none of the,13,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
none,6.35675,1,quantifier,blue,90_0_2,2,162,target, The machine dispensed none of the,13,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
none,6.35675,1,color,orange,90_0_2,1,162,competitor, The machine dispensed none of the blue ones.,13,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
none,6.35675,1,color,blue,90_0_2,2,162,target, The machine dispensed none of the blue ones.,13,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,2,quantifier,orange,75_100_1,1,162,target, The machine dispensed many of the,14,many_some,1,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,2,quantifier,blue,75_100_1,2,162,competitor, The machine dispensed many of the,14,many_some,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,2,color,orange,75_100_1,1,162,target, The machine dispensed many of the orange ones.,14,many_some,1,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,2,color,blue,75_100_1,2,162,competitor, The machine dispensed many of the orange ones.,14,many_some,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,3,quantifier,orange,25_50_1,1,162,target, The machine dispensed some of the,15,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,3,quantifier,blue,25_50_1,2,162,competitor, The machine dispensed some of the,15,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,3,color,orange,25_50_1,1,162,target, The machine dispensed some of the orange ones.,15,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,3,color,blue,25_50_1,2,162,competitor, The machine dispensed some of the orange ones.,15,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
all,6.35675,4,quantifier,orange,75_100_2,1,162,target, The machine dispensed all of the,16,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
all,6.35675,4,quantifier,blue,75_100_2,2,162,competitor, The machine dispensed all of the,16,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
all,6.35675,4,color,orange,75_100_2,1,162,target, The machine dispensed all of the orange ones.,16,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
all,6.35675,4,color,blue,75_100_2,2,162,competitor, The machine dispensed all of the orange ones.,16,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,5,quantifier,blue,50_90_1,1,162,competitor, The machine dispensed some of the,17,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,5,quantifier,orange,50_90_1,2,162,target, The machine dispensed some of the,17,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,5,color,blue,50_90_1,1,162,competitor, The machine dispensed some of the orange ones.,17,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,5,color,orange,50_90_1,2,162,target, The machine dispensed some of the orange ones.,17,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
many,6.35675,6,quantifier,orange,50_90_2,1,162,competitor, The machine dispensed many of the,18,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,6,quantifier,blue,50_90_2,2,162,target, The machine dispensed many of the,18,many_some,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,6,color,orange,50_90_2,1,162,competitor, The machine dispensed many of the blue ones.,18,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,6,color,blue,50_90_2,2,162,target, The machine dispensed many of the blue ones.,18,many_some,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,7,quantifier,orange,90_0_1,1,162,target, The machine dispensed many of the,19,many_some,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,7,quantifier,blue,90_0_1,2,162,competitor, The machine dispensed many of the,19,many_some,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,7,color,orange,90_0_1,1,162,target, The machine dispensed many of the orange ones.,19,many_some,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
many,6.35675,7,color,blue,90_0_1,2,162,competitor, The machine dispensed many of the orange ones.,19,many_some,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2
some,6.35675,8,quantifier,blue,25_50_2,1,162,competitor, The machine dispensed some of the,20,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,8,quantifier,orange,25_50_2,2,162,target, The machine dispensed some of the,20,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,8,color,blue,25_50_2,1,162,competitor, The machine dispensed some of the orange ones.,20,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,8,color,orange,25_50_2,2,162,target, The machine dispensed some of the orange ones.,20,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2
some,6.35675,1,quantifier,orange,25_50_1,1,162,competitor, The machine dispensed some of the,21,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,1,quantifier,blue,25_50_1,2,162,target, The machine dispensed some of the,21,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,1,color,orange,25_50_1,1,162,competitor, The machine dispensed some of the blue ones.,21,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,1,color,blue,25_50_1,2,162,target, The machine dispensed some of the blue ones.,21,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
none,6.35675,2,quantifier,orange,90_0_2,1,162,target, The machine dispensed none of the,22,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
none,6.35675,2,quantifier,blue,90_0_2,2,162,competitor, The machine dispensed none of the,22,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
none,6.35675,2,color,orange,90_0_2,1,162,target, The machine dispensed none of the orange ones.,22,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
none,6.35675,2,color,blue,90_0_2,2,162,competitor, The machine dispensed none of the orange ones.,22,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
many,6.35675,3,quantifier,blue,50_90_2,1,162,target, The machine dispensed many of the,23,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,3,quantifier,orange,50_90_2,2,162,competitor, The machine dispensed many of the,23,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,3,color,blue,50_90_2,1,162,target, The machine dispensed many of the blue ones.,23,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,3,color,orange,50_90_2,2,162,competitor, The machine dispensed many of the blue ones.,23,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,4,quantifier,blue,90_0_1,1,162,competitor, The machine dispensed many of the,24,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,4,quantifier,orange,90_0_1,2,162,target, The machine dispensed many of the,24,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,4,color,blue,90_0_1,1,162,competitor, The machine dispensed many of the orange ones.,24,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,4,color,orange,90_0_1,2,162,target, The machine dispensed many of the orange ones.,24,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
some,6.35675,5,quantifier,orange,50_90_1,1,162,target, The machine dispensed some of the,25,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,5,quantifier,blue,50_90_1,2,162,competitor, The machine dispensed some of the,25,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,5,color,orange,50_90_1,1,162,target, The machine dispensed some of the orange ones.,25,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,5,color,blue,50_90_1,2,162,competitor, The machine dispensed some of the orange ones.,25,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
all,6.35675,6,quantifier,orange,75_100_2,1,162,target, The machine dispensed all of the,26,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
all,6.35675,6,quantifier,blue,75_100_2,2,162,competitor, The machine dispensed all of the,26,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
all,6.35675,6,color,orange,75_100_2,1,162,target, The machine dispensed all of the orange ones.,26,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
all,6.35675,6,color,blue,75_100_2,2,162,competitor, The machine dispensed all of the orange ones.,26,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,7,quantifier,orange,25_50_2,1,162,competitor, The machine dispensed some of the,27,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,7,quantifier,blue,25_50_2,2,162,target, The machine dispensed some of the,27,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,7,color,orange,25_50_2,1,162,competitor, The machine dispensed some of the blue ones.,27,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
some,6.35675,7,color,blue,25_50_2,2,162,target, The machine dispensed some of the blue ones.,27,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3
many,6.35675,8,quantifier,blue,75_100_1,1,162,target, The machine dispensed many of the,28,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,8,quantifier,orange,75_100_1,2,162,competitor, The machine dispensed many of the,28,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,8,color,blue,75_100_1,1,162,target, The machine dispensed many of the blue ones.,28,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,8,color,orange,75_100_1,2,162,competitor, The machine dispensed many of the blue ones.,28,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3
many,6.35675,1,quantifier,blue,75_100_1,1,162,target, The machine dispensed many of the,29,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,1,quantifier,orange,75_100_1,2,162,competitor, The machine dispensed many of the,29,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,1,color,blue,75_100_1,1,162,target, The machine dispensed many of the blue ones.,29,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,1,color,orange,75_100_1,2,162,competitor, The machine dispensed many of the blue ones.,29,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
none,6.35675,2,quantifier,blue,90_0_2,1,162,target, The machine dispensed none of the,30,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
none,6.35675,2,quantifier,orange,90_0_2,2,162,competitor, The machine dispensed none of the,30,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
none,6.35675,2,color,blue,90_0_2,1,162,target, The machine dispensed none of the blue ones.,30,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
none,6.35675,2,color,orange,90_0_2,2,162,competitor, The machine dispensed none of the blue ones.,30,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,3,quantifier,orange,25_50_1,1,162,target, The machine dispensed some of the,31,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
some,6.35675,3,quantifier,blue,25_50_1,2,162,competitor, The machine dispensed some of the,31,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
some,6.35675,3,color,orange,25_50_1,1,162,target, The machine dispensed some of the orange ones.,31,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
some,6.35675,3,color,blue,25_50_1,2,162,competitor, The machine dispensed some of the orange ones.,31,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
some,6.35675,3,color,orange,25_50_1,1,162,target, The machine dispensed some of the orange ones.,31,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
some,6.35675,3,color,blue,25_50_1,2,162,competitor, The machine dispensed some of the orange ones.,31,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
all,6.35675,4,quantifier,orange,75_100_2,1,162,competitor, The machine dispensed all of the,32,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
all,6.35675,4,quantifier,blue,75_100_2,2,162,target, The machine dispensed all of the,32,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
all,6.35675,4,color,orange,75_100_2,1,162,competitor, The machine dispensed all of the blue ones.,32,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
all,6.35675,4,color,blue,75_100_2,2,162,target, The machine dispensed all of the blue ones.,32,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4
many,6.35675,5,quantifier,blue,50_90_2,1,162,competitor, The machine dispensed many of the,33,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,5,quantifier,orange,50_90_2,2,162,target, The machine dispensed many of the,33,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,5,color,blue,50_90_2,1,162,competitor, The machine dispensed many of the orange ones.,33,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,5,color,orange,50_90_2,2,162,target, The machine dispensed many of the orange ones.,33,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,6,quantifier,blue,90_0_1,1,162,target, The machine dispensed many of the,34,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,6,quantifier,orange,90_0_1,2,162,competitor, The machine dispensed many of the,34,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,6,color,blue,90_0_1,1,162,target, The machine dispensed many of the blue ones.,34,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
many,6.35675,6,color,orange,90_0_1,2,162,competitor, The machine dispensed many of the blue ones.,34,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,7,quantifier,blue,25_50_2,1,162,competitor, The machine dispensed some of the,35,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,7,quantifier,orange,25_50_2,2,162,target, The machine dispensed some of the,35,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,7,color,blue,25_50_2,1,162,competitor, The machine dispensed some of the orange ones.,35,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,7,color,orange,25_50_2,2,162,target, The machine dispensed some of the orange ones.,35,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,8,quantifier,blue,50_90_1,1,162,target, The machine dispensed some of the,36,many_some,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,8,quantifier,orange,50_90_1,2,162,competitor, The machine dispensed some of the,36,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,8,color,blue,50_90_1,1,162,target, The machine dispensed some of the blue ones.,36,many_some,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,8,color,orange,50_90_1,2,162,competitor, The machine dispensed some of the blue ones.,36,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4
some,6.35675,1,quantifier,blue,25_50_1,1,162,target, The machine dispensed some of the,37,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,1,quantifier,orange,25_50_1,2,162,competitor, The machine dispensed some of the,37,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,1,color,blue,25_50_1,1,162,target, The machine dispensed some of the blue ones.,37,many_some,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,1,color,orange,25_50_1,2,162,competitor, The machine dispensed some of the blue ones.,37,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,2,quantifier,blue,50_90_1,1,162,target, The machine dispensed some of the,38,many_some,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,2,quantifier,orange,50_90_1,2,162,competitor, The machine dispensed some of the,38,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,2,color,blue,50_90_1,1,162,target, The machine dispensed some of the blue ones.,38,many_some,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,2,color,orange,50_90_1,2,162,competitor, The machine dispensed some of the blue ones.,38,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
none,6.35675,3,quantifier,blue,90_0_2,1,162,target, The machine dispensed none of the,39,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
none,6.35675,3,quantifier,orange,90_0_2,2,162,competitor, The machine dispensed none of the,39,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
none,6.35675,3,color,blue,90_0_2,1,162,target, The machine dispensed none of the blue ones.,39,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
none,6.35675,3,color,orange,90_0_2,2,162,competitor, The machine dispensed none of the blue ones.,39,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
all,6.35675,4,quantifier,blue,75_100_2,1,162,target, The machine dispensed all of the,40,many_some,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
all,6.35675,4,quantifier,orange,75_100_2,2,162,competitor, The machine dispensed all of the,40,many_some,0,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
all,6.35675,4,color,blue,75_100_2,1,162,target, The machine dispensed all of the blue ones.,40,many_some,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
all,6.35675,4,color,orange,75_100_2,2,162,competitor, The machine dispensed all of the blue ones.,40,many_some,0,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,5
some,6.35675,5,quantifier,orange,25_50_2,1,162,target, The machine dispensed some of the,41,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,5
some,6.35675,5,quantifier,blue,25_50_2,2,162,competitor, The machine dispensed some of the,41,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,5
some,6.35675,5,color,orange,25_50_2,1,162,target, The machine dispensed some of the orange ones.,41,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,5
some,6.35675,5,color,blue,25_50_2,2,162,competitor, The machine dispensed some of the orange ones.,41,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,5
