quantifier,Answer.time_in_minutes,block_trial,utterance_label,color,type,position,Answer.bonus,label,utterance,trial,Answer.condition,clicked,percentage,init_images,workerid,block
none,6.35675,1,quantifier,orange,0_100_1,1,162,competitor, The machine dispensed none of the,1,many_some,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,6.35675,1,quantifier,blue,0_100_1,2,162,target, The machine dispensed none of the,1,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,6.35675,1,color,orange,0_100_1,1,162,competitor, The machine dispensed none of the blue ones.,1,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
none,6.35675,1,color,blue,0_100_1,2,162,target, The machine dispensed none of the blue ones.,1,many_some,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,6.35675,2,quantifier,orange,0_100_2,1,162,target, The machine dispensed all of the,2,many_some,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,6.35675,2,quantifier,blue,0_100_2,2,162,competitor, The machine dispensed all of the,2,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,6.35675,2,color,orange,0_100_2,1,162,target, The machine dispensed all of the orange ones.,2,many_some,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,6.35675,2,color,blue,0_100_2,2,162,competitor, The machine dispensed all of the orange ones.,2,many_some,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
all,6.35675,3,quantifier,blue,0_100_2,1,162,target, The machine dispensed all of the,3,many_some,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,6.35675,3,quantifier,orange,0_100_2,2,162,competitor, The machine dispensed all of the,3,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,6.35675,3,color,blue,0_100_2,1,162,target, The machine dispensed all of the blue ones.,3,many_some,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
all,6.35675,3,color,orange,0_100_2,2,162,competitor, The machine dispensed all of the blue ones.,3,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,6.35675,4,quantifier,blue,0_100_1,1,162,target, The machine dispensed none of the,4,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,6.35675,4,quantifier,orange,0_100_1,2,162,competitor, The machine dispensed none of the,4,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,6.35675,4,color,blue,0_100_1,1,162,target, The machine dispensed none of the blue ones.,4,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
none,6.35675,4,color,orange,0_100_1,2,162,competitor, The machine dispensed none of the blue ones.,4,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
some,6.35675,1,quantifier,orange,25_50_2,1,162,target, The machine dispensed some of the,5,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,1,quantifier,blue,25_50_2,2,162,competitor, The machine dispensed some of the,5,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,1,color,orange,25_50_2,1,162,target, The machine dispensed some of the orange ones.,5,many_some,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,1,color,blue,25_50_2,2,162,competitor, The machine dispensed some of the orange ones.,5,many_some,1,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
all,6.35675,2,quantifier,orange,75_100_2,1,162,target, The machine dispensed all of the,6,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
all,6.35675,2,quantifier,blue,75_100_2,2,162,competitor, The machine dispensed all of the,6,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
all,6.35675,2,color,orange,75_100_2,1,162,target, The machine dispensed all of the orange ones.,6,many_some,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
all,6.35675,2,color,blue,75_100_2,2,162,competitor, The machine dispensed all of the orange ones.,6,many_some,0,75,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
many,6.35675,3,quantifier,blue,75_100_1,1,162,target, The machine dispensed many of the,7,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,3,quantifier,orange,75_100_1,2,162,competitor, The machine dispensed many of the,7,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,3,color,blue,75_100_1,1,162,target, The machine dispensed many of the blue ones.,7,many_some,1,75,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,3,color,orange,75_100_1,2,162,competitor, The machine dispensed many of the blue ones.,7,many_some,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
some,6.35675,4,quantifier,orange,25_50_1,1,162,target, The machine dispensed some of the,8,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,4,quantifier,blue,25_50_1,2,162,competitor, The machine dispensed some of the,8,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,4,color,orange,25_50_1,1,162,target, The machine dispensed some of the orange ones.,8,many_some,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,4,color,blue,25_50_1,2,162,competitor, The machine dispensed some of the orange ones.,8,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,5,quantifier,orange,50_90_1,1,162,target, The machine dispensed some of the,9,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,5,quantifier,blue,50_90_1,2,162,competitor, The machine dispensed some of the,9,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,5,color,orange,50_90_1,1,162,target, The machine dispensed some of the orange ones.,9,many_some,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
some,6.35675,5,color,blue,50_90_1,2,162,competitor, The machine dispensed some of the orange ones.,9,many_some,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
many,6.35675,6,quantifier,blue,90_0_1,1,162,competitor, The machine dispensed many of the,10,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,6,quantifier,orange,90_0_1,2,162,target, The machine dispensed many of the,10,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,6,color,blue,90_0_1,1,162,competitor, The machine dispensed many of the orange ones.,10,many_some,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,6,color,orange,90_0_1,2,162,target, The machine dispensed many of the orange ones.,10,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,7,quantifier,blue,50_90_2,1,162,target, The machine dispensed many of the,11,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,7,quantifier,orange,50_90_2,2,162,competitor, The machine dispensed many of the,11,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,7,color,blue,50_90_2,1,162,target, The machine dispensed many of the blue ones.,11,many_some,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
many,6.35675,7,color,orange,50_90_2,2,162,competitor, The machine dispensed many of the blue ones.,11,many_some,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
none,6.35675,8,quantifier,blue,90_0_2,1,162,target, The machine dispensed none of the,12,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
none,6.35675,8,quantifier,orange,90_0_2,2,162,competitor, The machine dispensed none of the,12,many_some,0,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
none,6.35675,8,color,blue,90_0_2,1,162,target, The machine dispensed none of the blue ones.,12,many_some,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
