position,color,type,Answer.condition,block_trial,trial,utterance_label,block,clicked,utterance,workerid,init_images,Answer.bonus,label,Answer.time_in_minutes,quantifier,percentage
1,blue,90_0_1,some,3,7,quantifier,1,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,90_0_1,some,3,7,quantifier,1,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,0
1,blue,90_0_1,some,3,7,color,1,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,90_0_1,some,3,7,color,1,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,0
1,blue,75_100_1,some,4,8,prior,1,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,4,8,prior,1,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,4,8,quantifier,1,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,4,8,quantifier,1,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,4,8,color,1,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,4,8,color,1,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_2,some,5,9,prior,1,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,75_100_2,some,5,9,prior,1,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,75
1,blue,75_100_2,some,5,9,quantifier,1,1, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,75_100_2,some,5,9,quantifier,1,0, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,75
1,blue,75_100_2,some,5,9,color,1,1, The machine dispensed all of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,75_100_2,some,5,9,color,1,0, The machine dispensed all of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,75
1,orange,25_60_1,some,6,10,prior,1,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,6,10,prior,1,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
1,orange,25_60_1,some,6,10,quantifier,1,0, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,6,10,quantifier,1,1, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
1,orange,25_60_1,some,6,10,color,1,0, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,6,10,color,1,1, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
1,blue,60_90_1,some,7,11,prior,1,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,7,11,prior,1,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,blue,60_90_1,some,7,11,quantifier,1,1, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,7,11,quantifier,1,0, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,blue,60_90_1,some,7,11,color,1,0, The machine dispensed some of the orange ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,7,11,color,1,1, The machine dispensed some of the orange ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,orange,60_90_2,some,8,12,prior,1,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,60_90_2,some,8,12,prior,1,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
1,orange,60_90_2,some,8,12,quantifier,1,1, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,60_90_2,some,8,12,quantifier,1,0, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
1,orange,60_90_2,some,8,12,color,1,1, The machine dispensed most of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,60_90_2,some,8,12,color,1,0, The machine dispensed most of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
1,orange,25_60_1,some,1,13,prior,2,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,1,13,prior,2,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
1,orange,25_60_1,some,1,13,quantifier,2,0, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,1,13,quantifier,2,1, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
